时间,岗位,地点,工资,要求,公司,方向,公司标签,福利待遇
2018/10/16,Python高级开发工程师,北京·学院路,18k-36k,经验3-5年 / 本科,达观数据,"移动互联网 / B轮 / 50-150人	大数据云计算C++后端NLP","团队技术强,发展空间大,人工智能",
1天前发布,Python后端工程师,北京·海淀区,25k-40k,经验5-10年 / 本科,GeneDock,医疗健康,"数据服务 / B轮 / 15-50人	股票期权带薪年假扁平管理定期体检","五险一金,免费午餐,团队融洽,技术超前"
1天前发布,Python高级开发工程师,上海·虹桥,15k-20k,经验3-5年 / 本科,易路,移动互联网,"企业服务 / A轮 / 50-150人	技能培训年底双薪绩效奖金岗位晋升",弹性工作，带薪年假，股权激励机会。
2018/10/23,Python工程师,广州·东圃,12k-18k,经验不限 / 大专,广府数字,"区块链 电子商务 / 未融资 / 15-50人	电商移动互联网","打造千万级,原始股权,公司核心骨,报酬丰厚",
1天前发布,高级python开发工程师,深圳·南头,18k-30k,经验5-10年 / 本科,小橙奔跑,移动互联网,"广告营销 / 天使轮 / 15-50人	后端服务器端","年底双薪,五险一金,带薪年假,午餐补贴"
2天前发布,python工程师(北京),北京·苏州街,15k-25k,经验1-3年 / 本科,码隆科技,"移动互联网 / B轮 / 50-150人	软件开发",发展前景广阔,
3天前发布,高级Python开发工程师,武汉·江夏区,15k-25k,经验3-5年 / 本科,猫头鹰团队,移动互联网,"社交网络 / A轮 / 50-150人	Java","五险一金,年终奖金,弹性时间,零食水果"
2018/11/2,资深Python 工程师,北京·海淀区,14k-20k,经验1-3年 / 不限,鲸媒体,教育,"移动互联网 / A轮 / 15-50人	Linux/Unix","五险一金,员工福利,餐补,双休"
1天前发布,Python后端开发工程师,上海·黄浦区,15k-30k,经验1-3年 / 本科,Glow,移动互联网,"医疗健康 / B轮 / 15-50人	医疗健康移动互联网MySQL服务器端","产品优秀,团队出色,硅谷背景,注重技术"
1天前发布,python开发工程师,上海·张江,10k-15k,经验3-5年 / 本科,开阖软件,"企业服务 / 不需要融资 / 少于15人	云计算企业服务ERP",中国著名erp软件品牌，国际化产品,
2天前发布,高级Python研发工程师,深圳·岗厦,15k-30k,经验3-5年 / 本科,Gridsum 国双,数据服务,"企业服务 / 上市公司 / 500-2000人	云计算大数据平台",上市公司 发挥空间 折腾技术 牛人多
1天前发布,python,德阳·旌阳区,6k-7k,经验1-3年 / 不限,快单手,"金融 / 未融资 / 150-500人	互联网金融证券/期货",弹性工作，不加班。环境好,
